id	isv	addition	partOfSpeech
37890	Atlasske gory		f.pl.
35093	atlet		m.anim.
35095	atletičny		adj.
35094	atletika		f.sg.
35084	atmosfera		f.
4661	atom		m.
23321	atomna bomba		f.
37335	atonaľnosť		f.
37336	atonaľny		adj.
23184	atrakcija		f.
35788	atraktivny		adj.
36956	atribut		m.
36065	atut		m.
36825	au!		intj.
37850	audiofajl		m.
37602	auditoŕsky		adj.
36757	aura		f.
36767	aureola		f.
36748	autist		m.anim.
36749	autističny		adj.
36747	autizm		m.
24332	avangarda		f.
37605	avangardizm		m.
37604	avangardny		adj.
24334	avanpost		m.
24335	avans		m.
24337	avansovati		v.intr. ipf./pf.
24339	avansovy		adj.
37606	avanturist		m.anim.
24346	Avar		m.anim.
5766	avarija		f.
24348	avarijny		adj.
37607	avaŕsky		adj.
37503	avatar		m.
3053	avgust		m.
62	aviacija		f.sg.
17133	aviakarta		f.
64	avialinija		f.
24356	aviator		m.anim.
233	avizo		n.
36074	avokado		n.
70	Avstralija		f.sg.
5756	avstralijsky		adj.
75	Avstrija		f.sg.
35339	Avstrijėc		m.anim.
35338	avstrijsky		adj.
37286	Avstro-Vųgrija		f.
37285	avstro-vųgrsky		adj.
22810	avtentičny		adj.
37852	avtentifikacija		f.
37854	avtentifikacijne dane		m.pl.
2888	avto		n.
24363	avtobiografičny		adj.
24365	avtobiografija		f.
14449	avtobomba		f.
82	avtobus		m.
35255	avtobusna linija		f.
35254	avtobusna postojka		f.
37603	avtobusny		adj.
24370	avtograf		m.
24371	avtohton		m.anim.
24374	avtokracija		f.
24375	avtokrat		m.anim.
83	avtomagistralj		m.
4358	avtomat		m.
24377	avtomat		m.
4360	avtomatično		adv.
4359	avtomatičny		adj.
24383	avtomatika		f.sg.
24384	avtomatizacija		f.sg.
24385	avtomatizm		m.
24386	avtomatizovati		v.tr. ipf.
23496	avtomobil		m.
14451	avtomobiľny		adj.
17129	avtonomija		f.sg.
17130	avtonomny		adj.
6449	avtopromysl		m.sg.
87	avtor		m.anim.
24393	avtoritarny		adj.
10869	avtoritativno		adv.
10871	avtoritativny		adj.
15772	avtoritet		m.
15774	avtoritetno		adv.
15775	avtoritetnosť		f.sg.
15776	avtoritetny		adj.
15773	avtoritety		m.pl.
5034	avtorizacija		f.
5033	avtorizovati		v.tr. ipf.
35314	avtorka		f.
35237	avtoŕsko pravo		n.
24398	avtoŕsky		adj.
17131	avtoŕstvo		n.sg.
35868	avtostop		m.
35870	avtostopnik		m.anim.
35869	avtostopovati		v.intr. ipf./pf.
24399	avtostrada		f.
6451	avtostrahovka		f.
6452	avtozavod		m.
24400	avtožir		m.
24401	azalija		f.
36744	azbest		m.
16924	azbuka		f.
76	Azerbajdžan		m.sg.
92	Azija		f.sg.
542	azijatsky		adj.
24407	azimut		m.
22600	azot		m.sg.
24409	azotisty		adj.
24410	azotny		adj.
17135	Azovsko morje		n.sg.
36440	aztečsky		adj.
36439	Aztek		m.anim.
24411	azurny		adj.
3591	až		adv.
2435	baba		f.
6460	babica		f.
24425	babin		adj.
24429	babka		f.
24430	babsky		adj.
6459	babuška		f.
35187	bacil		m.
32766	badminton		m.sg.
5070	bagatela		f.
1579	bagatelizovati		v.tr. ipf.
2438	bagaž		m.
37045	bagažnik		m.
384	bagno		n.
22453	bahamsky		adj.
22452	Bahamy		f.pl.
24437	bajati		v.intr. ipf.
34833	bajati		v.intr. ipf.
6465	bajka		f.
36392	bajonet		m.
6466	bajt		m.
24443	bak		m.
24444	bak		m.
24445	bakalavr		m.
24448	baken		m.
35440	bakenbardy		f.pl.
24453	baklažan		m.
23505	bakterija		f.
37036	bakteriofag, fag		m.anim.
24458	bakteriologija		f.sg.
24459	bal		m.
31963	bala		f.
24461	balada		f.
24464	balalajka		f.
2440	balans		m.
24467	balansir		m.
24468	balansovati		v.intr. ipf.
24469	balast		m.sg.
24470	baldahin		m.
24471	balerina		f.
6102	balet		m.
37608	baletny		adj.
24474	balističny		adj.
24476	balistika		f.sg.
37609	balkanist		m.anim.
35340	balkańsky		adj.
16824	Balkany		m.pl.
37610	balkaŕsky		adj.
153	balkon		m.
24482	balon		m.
24483	balotovati		v.tr. ipf./pf.
23506	Baltičsko morje		n.sg.
4737	baltičsky		adj.
37891	baltoslovjańsky		adj.
24484	balustrada		f.
31785	balvan		m.
31786	balvan		m.
24487	balzam		m.
24489	balzamovati		v.tr. ipf./pf.
24490	bambus		m.
37612	bambusovy		adj.
37766	banaľnosť		f.
31717	banaľny		adj.
24492	banan		m.
2439	banda		f.
24494	bandaž		m.
493	bandit		m.anim.
24499	banditizm		m.sg.
24500	bandura		f.
24502	bandžo		n.
21847	baner		m.
24503	banja		f.
4668	bank		m.
24506	banka		f.
33326	banka		f.
24507	banket		m.
24508	bankir		m.anim.
16925	banknota		f.
36391	bankrot		m.anim.
24510	bankrotstvo		n.
37613	Banovina		f.
23757	baobab		m.
24513	baptist		m.anim.
37614	baptistsky		adj.
24514	baptizm		m.
24515	bar		m.
24516	baraban		m.
14453	barak		m.
32414	barak		m.
2436	baran		m.anim.
24520	baranina		f.sg.
24522	barbaris		m.
24524	bard		m.anim.
6471	barel		m.
159	bariera		f.
24529	barikada		f.
24530	barikadovati		v.tr. ipf.
24533	barkarola		f.
24534	barkas		m.
31977	barmen		m.anim.
154	barok		m.sg.
24535	baroko		n.
24536	barometr		m.
24538	baron		m.anim.
24539	baronesa		f.
20334	barsuk		m.anim.
1868	barva		f.
24541	barvinȯk		m.
5873	barviti		v.tr. ipf.
5872	barvivo		n.
21259	barvna olovka		f.
24542	baryj		m.sg.
24544	baryton		m.
24545	barža		f.
24546	bas		m.
2437	basen		m.
36210	Bask		m.anim.
24549	basketbol		m.sg.
36209	baskijsky		adj.
1846	basnj		f.
6483	basnjesloveny		adj.
19642	basnjevy		adj.
37573	basovy		adj.
24552	basta		intj.
35240	bastard		m.
24553	bastion		m.
37615	Baškir		m.anim.
36569	baškiŕsky		adj.
24559	batalion		m.
37129	batat		m.
24560	baterija		f.
35632	Bavarija		f.sg.
35724	bavaŕsky		adj.
2418	baviti		v.tr. ipf.
157	bavȯlna		f.sg.
6487	baza danyh		f.
156	baza		f.
24565	bazalt		m.sg.
16730	bazar		m.
24567	bazilik		m.
31749	bazilika		f.
20335	bazilisk		m.anim.
19643	bazovati na		v.tr. ipf.
24570	bazovati sę na		v.refl. ipf.
20336	bděńje		n.sg.
20338	bděti	(bdi)	v.intr. ipf.
20339	bditeljnosť		f.sg.
20340	bditeljny		adj.
2442	běda		f.sg.
3836	běda		f.sg.
2443	bědny		adj.
2444	bedrenėc		m.anim.
24576	bedreny		adj.
2445	bedro		n.
20341	běg		m.
20342	běg		m.
20343	běg		m.
35981	běgaj!		intj.
2441	běgati		v.intr. ipf.
20344	běglosť		f.sg.
20345	běgly		adj.
36637	běgly		adj.
32533	běgstvo		n.
1219	běgti	(běži)	v.intr. ipf.
20346	běgun		m.anim.
35523	bejsbol		m.sg.
24583	bělavy		adj.
24584	bělěti		v.intr. ipf.
37616	beletrist		m.anim.
37892	beletristika		f.
2865	Belgija		f.sg.
4426	belgijsky		adj.
23521	Bělgråd		m.sg.
37617	Bělgrådsky		adj.
24586	bělilo		n.
31731	běliti		v.tr. ipf.
22454	Beliz		m.sg.
2446	bělmo		n.
24591	bělobrådy		adj.
37618	běloglåvy		adj.
24595	bělȯk		m.
24600	bělopery		adj.
2447	Bělorus		m.anim.
2448	Běloruś		f.sg.
2864	bělorussky		adj.
24604	bělosť		f.sg.
24605	bělovlåsy		adj.
24606	bělozųby		adj.
2679	běly		adj.
37855	bengaľsky		adj.
23409	benzin		m.
37619	benzinovy		adj.
19493	Berlin		m.sg.
37620	bermudsky		adj.
36647	berserk		m.anim.
22601	berylij		m.sg.
24609	běs		m.anim.
37893	Besarabija		f.
1811	besěda		f.
37872	besědna stranica		f.
37871	besědny		adj.
2880	besědovati		v.intr. ipf.
24612	běsiti sę		v.refl. ipf.
31757	běsnosť		f.sg.
24613	běsny		adj.
1721	beton		m.sg.
3972	betonny		adj.
3044	betonomešalka		f.
3415	bez malogo		adv.
4946	bez obzira na	(+4)	prep.
1434	bez	(+2)	prep.
3971	bezbarvny		adj.
19644	bezbolěsno		adv.
19645	bezbolěsny		adj.
33128	bezbožje		n.sg.
33131	bezbožnik		m.anim.
33123	bezbožny		adj.
33127	bezbožny		adj.
24618	bezbrådy		adj.
35125	bezbrånny		adj.
37621	bezcěnny		adj.
17137	bezčėsťje		n.sg.
24620	bezčėstny		adj.
31742	bezčėstny		adj.
4837	bezdětny		adj.
2335	bezdna		f.
24626	bezdomny		adj.
24627	bezdȯnny		adj.
24628	bezdȯžďje		n.sg.
14455	bezdrěvny		adj.
24630	bezdušny		adj.
37622	bezdymny		adj.
19646	bezdyšny		adj.
24633	bezglåvy		adj.
24635	bezhvosty		adj.
14458	bezhybny		adj.
6515	bezimenno		adv.
6516	bezimenny		adj.
36638	bezizhodnosť		f.sg.
17138	bezizhodny		adj.
35411	bezkarnosť		f.sg.
35410	bezkarny		adj.
14457	bezkolorny		adj.
6517	bezkonėčje		n.sg.
4296	bezkonėčno		adv.
6519	bezkonėčnosť		f.sg.
6520	bezkonėčny		adj.
6522	bezkoristny		adj.
24637	bezkostny		adj.
31733	bezkrily		adj.
24638	bezkrȯvny		adj.
6524	bezlěsny		adj.
6525	bezlistny		adj.
24644	bezljudny		adj.
20348	bezměrnosť		f.sg.
33138	bezměrny		adj.
20351	bezmȯlvny		adj.
24646	bezmozgy		adj.
36175	bezmytny		adj.
36721	beznadějnosť		f.
4345	beznadějny		adj.
24647	beznogy		adj.
17141	bezolovny		adj.
20842	bezopasnosť		f.sg.
20844	bezopasny		adj.
24650	bezpamętny		adj.
19494	bezpartijny		adj.
20846	bezpečnosť		f.sg.
20847	bezpečny		adj.
24652	bezpery		adj.
37623	bezpilotny		adj.
20848	bezplatny		adj.
24653	bezplodny		adj.
33019	bezplodny		adj.
19649	bezpokojęći		adj.
22974	bezpokojeńje		n.
36698	bezpokojiti sę		v.refl. ipf.
19654	bezpokojiti		v.tr. ipf.
19659	bezpokojny		adj.
19661	bezpokojstvo		n.sg.
5837	bezpomoćno		adv.
5836	bezpomoćnosť		f.sg.
5835	bezpomoćny		adj.
5090	bezposrědnje		adv.
1792	bezposrědnji, bezposrědny		adj.
178	bezprecedentny		adj.
3517	bezprěryvno		adv.
6536	bezprěryvny		adj.
3493	bezpričinny		adj.
33236	bezprikladny		adj.
33232	bezpriměrny		adj.
17142	bezråbotica		f.sg.
37352	bezråbotny		adj.
28504	bezradostny		adj.
36639	bezrodny		adj.
24655	bezrogy		adj.
24656	bezrųky		adj.
37874	bezserifny font		m.
37873	bezserifny		adj.
24657	bezsiľny		adj.
20352	bezsmyslica		f.sg.
21261	bezsmysľny		adj.
24658	bezsněžny		adj.
24659	bezsȯnnica		f.sg.
24660	bezsȯnny		adj.
24661	bezstrašny		adj.
16267	bezstydnosť		f.sg.
16266	bezstydny		adj.
3974	bezšumnosť		f.sg.
177	bezšumny		adj.
6544	beztęžno		adv.
6545	beztęžnosť		f.sg.
6546	beztęžny		adj.
24008	bezumje		n.sg.
15247	bezumnik		m.anim.
15248	bezumny		adj.
4214	bezusiľje		n.sg.
4213	bezusiľno		adv.
4215	bezusiľnosť		f.sg.
4212	bezusiľny		adj.
21263	bezuslovny		adj.
33156	bezuspěšny		adj.
33157	bezutěšny		adj.
33436	bezvěŕje		n.sg.
5051	bezvěstny		adj.
24664	bezvětŕje		n.
24665	bezvinny		adj.
34434	bezvkųsny		adj.
22486	bezvladnosť		f.sg.
22487	bezvladnosť		f.sg.
22485	bezvladny		adj.
22484	bezvlasťje		n.sg.
24666	bezvlåsy		adj.
24668	bezvodny		adj.
17143	bezvyhodny		adj.
35126	bezzaščitny		adj.
179	běženėc		m.anim.
6552	běženica		f.
23754	běžeńje		n.
24671	beževy		adj.
37492	běžna dråga		f.
24672	bezzųby		adj.
5040	bezzvųčny		adj.
4760	Biblija		f.
5844	biblijsky		adj.
35088	bibliografičny		adj.
35087	bibliografija		f.
37624	bibliotečny		adj.
4364	biblioteka		f.
4365	bibliotekaŕ		m.anim.
24673	bič		m.
37625	bičevańje		n.
34987	bičevati		v.tr. ipf.
35994	bifštek		m.
37046	Big Ben		m.
35872	bilbord		m.
1760	bilet		m.
35293	binarny		adj.
35227	binoklj		m.
37033	biocenoza		f.
37626	bioenergetika		f.
37627	biofizik		m.anim.
37439	biograf		m.anim.
37438	biografičny		adj.
20849	biografija		f.
3975	biolog		m.anim.
3976	biologičny		adj.
1780	biologija		f.sg.
37032	biom		m.
37034	biosfera		f.
17145	biskup		m.anim.
35992	biskvit		m.
22635	bismut		m.sg.
4049	biti	(bije)	v.tr. ipf.
24678	biťje		n.
24679	bitka		f.
20353	bitva		f.
38029	Bizantij		m.
35833	Bizantija		f.sg.
35834	Bizantijska imperija		f.sg.
35341	bizantijsky		adj.
637	biznes		m.
15785	biznesmen		m.anim.
14464	biznesny		adj.
32788	bizon		m.anim.
24681	bižuterija		f.
35181	bjuleten		m.
3978	bjurokracija		f.
2452	bjurokrat		m.anim.
3979	bjurokratičny		adj.
37628	bjurokratizacija		f.
37629	bjurokratizm		m.
3176	bjust		m.
17146	blågo		n.
4927	blågodarę	(+3)	prep.
4885	blågodarim, blågodarjų		intj.
4889	blågodariti		v.tr. ipf.
6575	blågodarjeńje		n.
6576	blågodarno		adv.
4905	blågodarnosť		f.sg.
4903	blågodarny		adj.
23755	blågomilosť		f.
15251	blågomily		adj.
23756	blågoprijatny		adj.
21264	blågorodny		adj.
22975	blågosklonnosť		f.sg.
14466	blågosklonny		adj.
19662	blågosklonny		adj.
5574	blågoslavjati		v.tr. ipf.
5573	blågosloviti		v.tr. pf.
5901	blågoslovjeńje		n.
